bairro,desc,tipo,imagem,area total,area util,valor
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1440301930/24962801930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1445701930/25146701930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1445901930/25154101930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446001930/25155001930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446501930/25176701930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446601930/25180601930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446701930/25183101930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1019701930/25384201930.jpg,"80,2 M² TOTAL","60,93 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1419301930/24203601930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1419401930/24205901930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1439501930/24925001930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1439601930/24928401930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/444201930/25721201930.jpg,202 M² TOTAL,160 M² ÚTIL,2100.0
